HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
601101100,0601.10.11.00,0601.10.11.00 (2017-01/9999-12),201701,999912,NMB,NMB (2017-01/9999-12),201701,999912,"Bulbs, of the genus narcissus, dormant, o/t use by florist/nurserymen","Bulbes, du genre narcissus, en repos, a/q utilisés par fleuristes/pépiniéristes"
601101110,0601.10.11.10,0601.10.11.10 (1988-01/1997-12),198801,199712,,N/A (1988-01/1997-12),198801,199712,"Daffodil bulbs, dormant","Bulbes de jonquilles, en repos végétatif"
601101110,0601.10.11.10,0601.10.11.10 (1998-01/2016-12),199801,201612,,N/A (1998-01/2016-12),199801,201612,"Daffodil bulbs, dormant, other than for use by florists or nurserymen","Bulbes de jonquilles, en repos, a/q ceux utilisés par fleuristes/pépiniéristes"
601101190,0601.10.11.90,0601.10.11.90 (1988-01/1997-12),198801,199712,,N/A (1988-01/1997-12),198801,199712,"Bulbs of the genus narcissus, except daffodil, dormant","Bulbes du genre des narcisses, sauf jonquilles, en repos végétatif"
601101190,0601.10.11.90,0601.10.11.90 (1998-01/2016-12),199801,201612,,N/A (1998-01/2016-12),199801,201612,"Bulbs, narcissus,except daffodil, dormant,o/t use by florist/nurserymen","Bulbes, narcisses,sf jonquilles, en repos, a/q util par fleuriste/pépiniéristes"
601101910,0601.10.19.10,0601.10.19.10 (1988-01/1997-12),198801,199712,,N/A (1988-01/1997-12),198801,199712,"Hyacinth bulbs, dormant","Bulbes de jacinthes, en repos végétatif"
601101910,0601.10.19.10,0601.10.19.10 (2017-01/9999-12),201701,999912,NMB,NMB (2017-01/9999-12),201701,999912,"Tulip bulbs, dormant","Bulbes de tulipes, en repos végétatif"
601101911,0601.10.19.11,0601.10.19.11 (1998-01/2016-12),199801,201612,,N/A (1998-01/2016-12),199801,201612,"Daffodil bulbs, dormant, nes","Bulbes de jonquilles, en repos végétatif, nda"
601101919,0601.10.19.19,0601.10.19.19 (1998-01/2016-12),199801,201612,,N/A (1998-01/2016-12),199801,201612,"Bulbs of the genus narcissus, except daffodil, dormant, nes","Bulbes du genre des narcisses, sauf jonquilles, en repos végétatif, nda"
601101920,0601.10.19.20,0601.10.19.20 (1988-01/1997-12),198801,199712,DZN,DZN (1988-01/1997-12),198801,199712,"Tulip bulbs, dormant","Bulbes de tulipes, en repos végétatif"
601101990,0601.10.19.90,0601.10.19.90 (1988-01/1997-12),198801,199712,,N/A (1988-01/1997-12),198801,199712,"Bulbs, dormant, nes","Bulbes, en repos végétatif, nda"
601101990,0601.10.19.90,0601.10.19.90 (2017-01/9999-12),201701,999912,NMB,NMB (2017-01/9999-12),201701,999912,"Bulbs, dormant, nes","Bulbes, en repos végétatif, nda"
601101991,0601.10.19.91,0601.10.19.91 (1998-01/2016-12),199801,201612,,N/A (1998-01/2016-12),199801,201612,"Hyacinth bulbs, dormant","Bulbes de jacinthes, en repos végétatif"
601101992,0601.10.19.92,0601.10.19.92 (1998-01/2016-12),199801,201612,DZN,DZN (1998-01/2016-12),199801,201612,"Tulip bulbs, dormant","Bulbes de tulipes, en repos végétatif"
601101999,0601.10.19.99,0601.10.19.99 (1998-01/2016-12),199801,201612,,N/A (1998-01/2016-12),199801,201612,"Bulbs, dormant, nes","Bulbes, en repos végétatif, nda"
